"IDs","forte1","fermata1","pause1","forte2","fermata2","pause2","piano"
10,74.4307028999467,71.3871801485977,58.9161111678062,76.9632545332016,72.2075700006818,47.7576911969085,55.9346249310403
100,75.2221172973023,78.5753448055226,64.1639597083741,77.3292235866886,78.0062656611077,60.1262852221365,67.1439900319365
101,75.2360094336512,71.6267281031168,59.6260020711878,75.4713603428362,70.653269887232,51.8108121239698,54.6985956419877
102,83.5964961796601,82.8363842777546,71.6260620794972,82.1374285351019,78.3470405505707,65.1649380037559,60.4573851018681
103,77.2379041480247,77.9888797902574,63.2364766245722,77.0151434329403,78.675970434638,62.1371690915929,68.7877867387879
105,81.5088844681547,80.3002123373981,71.9860094314737,81.4226584757609,80.9889144028541,62.4841785817381,75.6908806484928
11,74.5495029515395,75.6908202769771,65.292697347999,75.3773198771741,71.8064441460972,60.9645035007396,56.6921297759622
13,64.1103471159689,65.166955243736,44.0989819043481,65.4433141318136,66.2239261401236,49.7105726922075,48.5105147281835
15,78.2908752614839,79.0565900200391,66.5400341299797,79.435038447979,79.7122137196837,74.771619698203,72.7042585836498
16,67.4019341719961,68.9479532466974,58.1493284999748,73.1538813415928,70.011040419917,53.8241198069072,54.1836722993123
17,61.2415501940168,61.0209666620998,56.6687417365007,61.4967854881466,59.7283068206018,41.6506434671972,42.6956067053809
19,79.9261628357614,80.5212069598716,61.276966101155,77.0010393803325,80.7111796149619,67.3649951593156,65.7995152272935
2,71.2535982424586,70.6078751187397,61.3765879503383,71.3910488450202,71.5162630064096,59.3429885643679,53.1770909753225
20,66.3622201195731,66.2570227276886,54.8226351195699,68.0022222555923,64.1904693235502,46.7060002413479,49.5783614817646
21,80.0441381388531,77.9519740461707,60.7257268243189,77.0637719573683,76.005910914679,62.9656948958775,75.8368641998541
22,83.4440887349297,81.4703482504827,73.3330374022262,83.7803768475699,81.4925557137305,66.195583903187,76.4635093121375
23,85.1908751789315,80.247602229993,73.2561421562015,83.6399711450725,79.8332732071972,72.7785194008711,73.7953073053268
24,71.3537343718315,69.3581704454646,55.3405082186443,70.7848241333425,69.4731303514634,54.0603795289538,59.8059669825603
25,65.7659157893227,68.6413375188824,52.8770125805124,69.419813256379,69.3366241981287,54.3702860491925,60.8508574908975
26,78.1726513365371,79.5883188982341,65.5964200421602,80.1301809092939,80.0093981365144,62.9130252062258,64.5630153325394
27,81.0471313367735,81.0951217663083,62.5693038595139,80.0028254923336,79.6234015511257,64.0913563681887,69.3344924588068
28,59.3022878200648,60.5393655212127,50.7240947241527,60.9233639417071,62.2008919045127,49.2302474253237,48.584330533065
31,75.9205607768096,72.514693127939,62.4630807214941,74.6859903420129,72.5633506062056,65.2882142147537,64.6696424548211
35,79.7351094045138,82.7353496496734,69.9946692326246,83.1118569526723,82.9101999952158,70.4377405038233,70.9497010204163
40,88.2676453171806,83.6976908008771,79.0877827712163,86.5337920460776,81.8863656460251,73.0415192351303,68.7435048322755
41,77.631281264325,76.3849957942422,66.4130110936093,78.2815658088361,76.7255677515558,63.8942247174874,67.7008201746238
42,80.2412077135695,76.9320474576866,71.2311062579088,79.9962884739907,79.0868738259222,70.583114462613,64.5208051559046
43,68.4676603983259,69.9864409514383,61.9148619362129,71.0669225546592,70.6456797562606,56.2848026986787,56.8286676351744
45,78.0945946086011,80.0100620290249,70.2620044664862,81.5409762796971,79.4035172330148,62.6862506824812,67.1176166555827
48,73.6660119399931,78.9429431474284,67.7803200545201,77.8645097695165,80.6643451550446,66.3719357391307,64.6879442308947
49,79.9664645185911,79.1666878807621,58.9278535759385,80.0684457241194,78.6907720662502,52.6783728801841,58.7729657228365
50,80.183108890729,79.72758652681,64.6018506584666,80.0721428145955,79.9872842449917,62.033751834791,71.1477939385066
51,66.7497139350288,67.0105117861521,58.635890228428,68.0952354277393,66.7670354918094,57.4980765026997,48.2785979563728
52,78.698305167665,79.6973208126739,68.479635905273,79.0694263738229,79.5530054557703,71.459801720565,66.0276926127023
55,72.5585976282301,76.0850497311429,68.1839631345034,74.9809927454544,77.1668888116368,68.0410300664082,64.2923849081894
56,72.0599604311445,70.9429489777713,55.9934961075093,72.3998179876598,73.9709059207427,63.4383372065855,56.630858100056
58,73.9599313779524,73.3294650386939,65.7727892613195,74.0167081627289,71.0917841284635,56.5009244890286,51.9653544468811
6,76.915442794562,75.050046753463,71.8809088451489,75.4679897406909,75.178232624605,73.0156566290971,67.9454854253412
63,73.1598142064462,74.3379283881664,65.2766520548313,73.9023690561785,73.5679225100036,66.5961998133771,57.4875758578081
64,69.8629418282196,71.5565447155582,67.7232935401559,70.9797110428634,71.1706793940841,56.6037783430556,54.7999158678042
65,77.0824833228465,76.4276630752066,65.0592583144269,76.6328790270329,75.4053152398512,62.2008114089619,69.7039197044986
69,66.1694983434988,65.3347796728001,54.9795786843298,66.9654143437783,64.0926779331115,47.3671557408317,52.2032272721196
7,69.798654287486,68.3580223122636,57.6367263161991,72.5463935070561,68.5642880742736,58.265800000969,53.3756020643804
70,67.0793313178129,65.5140811211905,58.7056042945373,68.3616195479285,65.5544006666293,51.5866672053495,53.6968951436317
71,71.4887550434385,74.5841817235397,66.2068668776307,76.0374012609591,72.1850187914716,62.4540866115751,59.2377677518913
73,73.5610761646383,72.9906085206106,67.9214139726499,73.8752186747102,73.7173742143366,68.1833278745967,61.7975166466002
74,74.0477454513725,75.1560179925396,63.2386334722391,73.9573623382422,74.6940520687152,66.2127245857341,64.4755270056918
75,83.5366184288353,81.6195745521584,75.6245354124564,83.3283202611815,81.445114170717,73.0388736735889,74.5149373476126
76,77.4702063099162,77.8639552002632,73.9065084189996,79.5085409910025,79.2430371763635,67.1374562389702,70.360569471717
82,66.3299476588479,62.5420936027152,47.840570901466,64.5009652532748,60.7443186029565,42.646221130194,47.2593878213451
83,80.7302715588488,80.8360905301206,78.0394348624521,81.078904750097,80.517252589801,63.5889206182321,72.0174492832104
84,72.1609280551853,73.8191084264378,58.0223584754935,75.2532169796884,73.8962490415068,49.4584781077946,68.0827157473209
85,75.5588474729988,76.9775943966376,71.8084937496671,76.667267861255,76.8247870874193,64.047172867136,61.7193999347842
87,73.4046488500365,72.8107564746979,59.8391878281242,72.6428773282826,73.9311651132364,59.3251950197638,59.2709393330612
88,74.6695032865837,72.130536341723,62.0488014908747,72.0794450723596,70.3989143410649,60.216589212561,58.1592435717513
89,79.1619896757063,79.2717929219968,68.1530106552786,78.5959557480296,79.6993070021021,65.7911437241184,68.4913412906476
90,58.8499748411034,56.90070949239,43.0701594629319,58.3035872307273,58.3082290309228,42.70684984981,42.8044065156598
92,65.2555886928208,65.5283534864044,54.5563747594308,66.8223103893965,66.2191843370502,59.5974500199433,51.5861855564563
93,63.5394001830215,64.5747101552248,56.0737741125631,65.1222847573901,65.8753869348905,53.1945356681533,46.2578263391738
94,77.5661947887772,77.5188854135237,70.0943964164374,76.0164693951964,77.0855568852516,60.5292508314913,60.364464667547
96,67.5063163700744,66.8664959799997,50.0656705005037,66.9362450659695,67.1846502586504,51.4053362673338,52.5831853312404
97,71.3955867745549,71.4740796665734,64.2330464999024,72.4274878943797,69.698498230447,61.8302421198336,57.9192084994722
98,68.4521242847284,68.4914419359365,61.6799023073019,70.3825272341494,70.1866911444247,55.091051004951,51.586417276504
99,65.6659279024407,64.6534686253289,56.1469789001228,66.4308580023502,63.391267476437,46.9481775229176,46.5765029676808
